iso3c,country_name,taxa,feed_category,tonnes
MYS,Malaysia,oth_carp,oil,10300.47826785845
GBR,United Kingdom,trout,soy,574.5060035781629
GBR,United Kingdom,trout,grain,6001.617130052354
GBR,United Kingdom,trout,oil,0
UZB,Uzbekistan,catfish,soy,5615.659110173306
UZB,Uzbekistan,catfish,grain,5456.503691864216
UZB,Uzbekistan,catfish,oil,3164.1264011993676
ZWE,Zimbabwe,tilapia,soy,5539.113886888676
ZWE,Zimbabwe,tilapia,grain,6407.364398807673
ZWE,Zimbabwe,tilapia,oil,2957.2451071420032
KEN,Kenya,tilapia,soy,5357.548020733322
KEN,Kenya,tilapia,grain,6197.338266361434
KEN,Kenya,tilapia,oil,2860.3099690898925
SWE,Sweden,trout,soy,538.8113051297066
SWE,Sweden,trout,grain,5628.729967296776
SWE,Sweden,trout,oil,0
GTM,Guatemala,tilapia,soy,5296.8454027948155
GTM,Guatemala,tilapia,grain,6127.120574319704
GTM,Guatemala,tilapia,oil,2827.901803532172
UKR,Ukraine,oth_carp,soy,3642.1873465977014
UKR,Ukraine,oth_carp,grain,2876.8289327893112
UKR,Ukraine,oth_carp,oil,9294.37039824239
USA,United States,tilapia,soy,5184.111969480448
USA,United States,tilapia,grain,5996.716289099353
USA,United States,tilapia,oil,2767.7152103535477
MEX,Mexico,trout,soy,521.3762011650109
MEX,Mexico,trout,grain,5446.592934842726
MEX,Mexico,trout,oil,0
CAN,Canada,trout,soy,511.86250704284845
CAN,Canada,trout,grain,5347.207464093891
CAN,Canada,trout,oil,0
BLR,Belarus,oth_carp,soy,3464.3166012838074
BLR,Belarus,oth_carp,grain,2736.3354167449456
BLR,Belarus,oth_carp,oil,8840.468269483672
TZA,Tanzania,tilapia,soy,4877.888941487092
TZA,Tanzania,tilapia,grain,5642.493110495993
TZA,Tanzania,tilapia,oil,2604.227589459689
LKA,Sri Lanka,oth_carp,soy,2969.3061015591825
LKA,Sri Lanka,oth_carp,grain,2345.344950817221
LKA,Sri Lanka,oth_carp,oil,7577.268302640254
UKR,Ukraine,hypoph_carp,soy,584.5637629894719
UKR,Ukraine,hypoph_carp,grain,4678.3484245072505
UKR,Ukraine,hypoph_carp,oil,0
SAU,Saudi Arabia,tilapia,soy,4078.457142743374
SAU,Saudi Arabia,tilapia,grain,4717.751184053595
SAU,Saudi Arabia,tilapia,oil,2177.423623409352
ISR,Israel,tilapia,soy,3999.8689320194153
ISR,Israel,tilapia,grain,4626.844350606714
ISR,Israel,tilapia,oil,2135.466623356946
SLV,El Salvador,tilapia,soy,3859.49412803662
SLV,El Salvador,tilapia,grain,4464.465937760219
SLV,El Salvador,tilapia,oil,2060.5227405047167
FRA,France,oth_carp,soy,2686.9835994226605
FRA,France,oth_carp,grain,2122.348859393611
FRA,France,oth_carp,oil,6856.81939188705
AFG,Afghanistan,oth_carp,soy,2630.2163402799283
AFG,Afghanistan,oth_carp,grain,2077.5105032092392
AFG,Afghanistan,oth_carp,oil,6711.95701036831
PRY,Paraguay,tilapia,soy,3691.477953385398
PRY,Paraguay,tilapia,grain,4270.113397287579
PRY,Paraguay,tilapia,oil,1970.821567978883
CUB,Cuba,catfish,soy,3640.4402844273773
CUB,Cuba,catfish,grain,3537.2652545813407
CUB,Cuba,catfish,oil,2051.1952363844457
KHM,Cambodia,tilapia,soy,3522.919791074011
KHM,Cambodia,tilapia,grain,4075.1339131359955
KHM,Cambodia,tilapia,oil,1880.831036831998
TWN,Taiwan,misc_diad,soy,92.57370771689169
TWN,Taiwan,misc_diad,grain,2758.367166370154
TWN,Taiwan,misc_diad,oil,742.6373140227338
MDA,Moldova,hypoph_carp,soy,467.2120445187712
MDA,Moldova,hypoph_carp,grain,3739.1656321751343
MDA,Moldova,hypoph_carp,oil,0
PRK,North Korea,catfish,soy,3246.0457284238755
PRK,North Korea,catfish,grain,3154.0483768001254
PRK,North Korea,catfish,oil,1828.9747983811374
MDA,Moldova,oth_carp,soy,2208.246380652285
MDA,Moldova,oth_carp,grain,1744.212055572073
MDA,Moldova,oth_carp,oil,5635.146641079006
KOR,South Korea,catfish,soy,3093.4815791879537
KOR,South Korea,catfish,grain,3005.808103090519
KOR,South Korea,catfish,oil,1743.0129828572235
ROU,Romania,oth_carp,soy,2094.598327848535
ROU,Romania,oth_carp,grain,1654.4456664909605
ROU,Romania,oth_carp,oil,5345.132153278488
ECU,Ecuador,trout,soy,301.8704470014655
ECU,Ecuador,trout,grain,3153.510728341883
ECU,Ecuador,trout,oil,0
PHL,Philippines,catfish,soy,2897.14991338045
PHL,Philippines,catfish,grain,2815.0407437670583
PHL,Philippines,catfish,oil,1632.3904904684712
BGR,Bulgaria,oth_carp,soy,1914.607893078251
BGR,Bulgaria,oth_carp,grain,1512.2778862266703
BGR,Bulgaria,oth_carp,oil,4885.820863193858
SDN,Sudan,tilapia,soy,2709.938300826162
SDN,Sudan,tilapia,grain,3134.718394719997
SDN,Sudan,tilapia,oil,1446.7931052553831
DEU,Germany,oth_carp,soy,1790.4393533617756
DEU,Germany,oth_carp,grain,1414.2017540550946
DEU,Germany,oth_carp,oil,4568.959513101076
ISL,Iceland,trout,soy,254.01025976777856
ISL,Iceland,trout,grain,2653.5359365029517
ISL,Iceland,trout,oil,0
ROU,Romania,hypoph_carp,soy,348.8292842128018
ROU,Romania,hypoph_carp,grain,2791.7312627678984
ROU,Romania,hypoph_carp,oil,0
VEN,Venezuela,catfish,soy,2369.6133817494297
VEN,Venezuela,catfish,grain,2302.4553150640913
VEN,Venezuela,catfish,oil,1335.1516028182302
GHA,Ghana,catfish,soy,2274.9370480037337
GHA,Ghana,catfish,grain,2210.462237407421
GHA,Ghana,catfish,oil,1281.8065045321139
HUN,Hungary,catfish,soy,2269.5810725518345
HUN,Hungary,catfish,grain,2205.2580575857014
HUN,Hungary,catfish,oil,1278.7886961147851
ISR,Israel,oth_carp,soy,1545.961690653742
ISR,Israel,oth_carp,grain,1221.0979000877323
ISR,Israel,oth_carp,oil,3945.0855233603666
SDN,Sudan,catfish,soy,2164.0304856159178
SDN,Sudan,catfish,grain,2102.69891786675
SDN,Sudan,catfish,oil,1219.3165322540915
SRB,Serbia,oth_carp,soy,1446.8460561905315
SRB,Serbia,oth_carp,grain,1142.810130189819
SRB,Serbia,oth_carp,oil,3692.155805228645
ARM,Armenia,tilapia,soy,2058.469133307553
ARM,Armenia,tilapia,grain,2381.1320926293092
ARM,Armenia,tilapia,oil,1098.9840427519891
KOR,South Korea,trout,soy,198.356326447872
KOR,South Korea,trout,grain,2072.1432313141026
KOR,South Korea,trout,oil,0
MDG,Madagascar,oth_carp,soy,1328.353863939935
MDG,Madagascar,oth_carp,grain,1049.2175347143063
MDG,Madagascar,oth_carp,oil,3389.7797275385283
MLI,Mali,tilapia,soy,1850.3458718041036
MLI,Mali,tilapia,grain,2140.3857199148138
MLI,Mali,tilapia,oil,987.8703322683757
PRK,North Korea,oth_carp,soy,1286.7245405685978
PRK,North Korea,oth_carp,grain,1016.3360735124332
PRK,North Korea,oth_carp,oil,3283.5473144247853
PRY,Paraguay,catfish,soy,1780.4560820404963
PRY,Paraguay,catfish,grain,1729.9955346748688
PRY,Paraguay,catfish,oil,1003.192676912054
BGR,Bulgaria,trout,soy,178.7559880951385
BGR,Bulgaria,trout,grain,1867.386926454038
BGR,Bulgaria,trout,oil,0
MEX,Mexico,catfish,soy,1744.444450729362
MEX,Mexico,catfish,grain,1695.0045219826484
MEX,Mexico,catfish,oil,982.9020304988136
COD,Congo - Kinshasa,tilapia,soy,1734.360512528744
COD,Congo - Kinshasa,tilapia,grain,2006.2197726207978
COD,Congo - Kinshasa,tilapia,oil,925.9475873634452
RWA,Rwanda,tilapia,soy,1734.360512528744
RWA,Rwanda,tilapia,grain,2006.2197726207978
RWA,Rwanda,tilapia,oil,925.9475873634452
