iso3c,country_name,taxa,tonnes_fofm
AUT,Austria,hypoph_carp,0.17155937098560659
BDI,Burundi,oth_carp,1.5712898315241297
BRN,Brunei,catfish,4.4719117639056485
LBN,Lebanon,tilapia,1.5550765722582456
LBR,Liberia,catfish,4.4719117639056485
GMB,Gambia,tilapia,1.2440612578065964
GBR,United Kingdom,catfish,3.3300836268550724
NIC,Nicaragua,tilapia,1.1403894863227133
ATG,Antigua & Barbuda,tilapia,1.0367177148388302
LBY,Libya,tilapia,1.0367177148388302
QAT,Qatar,tilapia,1.0367177148388302
TJK,Tajikistan,trout,9.411498101279385
TZA,Tanzania,trout,9.411498101279385
WSM,Samoa,tilapia,1.0180567959717315
LCA,St. Lucia,tilapia,0.9423764027884968
GNQ,Equatorial Guinea,catfish,2.6831470583433887
SGP,Singapore,oth_carp,0.8906070765078767
TUR,Turkey,catfish,2.3850196074163454
TUR,Turkey,tilapia,0.8293741718710643
VIR,U.S. Virgin Islands,tilapia,0.8293741718710643
GRC,Greece,oth_carp,0.743743853588088
PAN,Panama,oth_carp,0.7018427914141113
GNQ,Equatorial Guinea,tilapia,0.6220306289032982
PRI,Puerto Rico,catfish,1.788764705562259
PSE,Palestinian Territories,oth_carp,0.6285159326096518
VUT,Vanuatu,tilapia,0.6197498499306527
ZMB,Zambia,catfish,1.7589519604695552
TTO,Trinidad & Tobago,tilapia,0.5650111545871626
PER,Peru,oth_carp,0.5551890738051924
ZAF,South Africa,oth_carp,0.5551890738051924
GAB,Gabon,catfish,1.490637254635216
MDG,Madagascar,catfish,1.490637254635216
"NAM",Namibia,catfish,1.490637254635216
REU,Réunion,tilapia,0.5183588574194151
REU,Réunion,trout,4.705749050639692
SLE,Sierra Leone,catfish,1.490637254635216
ZWE,Zimbabwe,catfish,1.490637254635216
GTM,Guatemala,oth_carp,0.41901062173976794
SLB,Solomon Islands,tilapia,0.36285120019359063
BRN,Brunei,tilapia,0.3110153144516491
GMB,Gambia,catfish,0.8943823527811295
MUS,Mauritius,tilapia,0.3110153144516491
PSE,Palestinian Territories,misc_diad,10.046658116027364
ETH,Ethiopia,trout,1.8822996202558768
GLP,Guadeloupe,tilapia,0.20734354296776608
JAM,Jamaica,oth_carp,0.20950531086988397
LBN,Lebanon,oth_carp,0.20950531086988397
PRI,Puerto Rico,tilapia,0.20734354296776608
SYR,Syria,hypoph_carp,0.02213669303040085
TTO,Trinidad & Tobago,catfish,0.5962549018540864
GBR,United Kingdom,tilapia,0.10885536005807718
BHS,Bahamas,tilapia,0.10367177148388304
COK,Cook Islands,tilapia,0.10367177148388304
GUF,French Guiana,catfish,0.2981274509270432
GUF,French Guiana,oth_carp,0.10475265543494199
ITA,Italy,tilapia,0.10367177148388304
LSO,Lesotho,oth_carp,0.10475265543494199
MNP,Northern Mariana Islands,milkfish,0.7822461923776417
RWA,Rwanda,oth_carp,0.10475265543494199
SGP,Singapore,misc_diad,3.348886038675788
SSD,South Sudan,catfish,0.2981274509270432
ESP,Spain,tilapia,0.072673911810202
MKD,North Macedonia,catfish,0.20868921564893023
DZA,Algeria,hypoph_carp,0.006087590583360235
ABW,Aruba,tilapia,0.05183588574194152
CUW,Curaçao,tilapia,0.05183588574194152
GRD,Grenada,tilapia,0.05183588574194152
KNA,St. Kitts & Nevis,tilapia,0.05183588574194152
MTQ,Martinique,tilapia,0.05183588574194152
MYS,Malaysia,misc_diad,1.5069987174041046
SGP,Singapore,tilapia,0.031101531445164907
